"Date","Price","Open","High","Low","Vol.","Change %"
"03/25/2026","75,273.45","74,652.01","75,849.76","74,550.47","31.00M","1.63%"
"03/24/2026","74,068.45","74,212.47","74,489.39","73,084.46","20.66M","1.89%"
"03/23/2026","72,696.39","73,732.58","73,732.58","72,558.44","19.28M","-2.46%"
"03/20/2026","74,532.96","74,559.38","75,286.39","74,385.04","19.04M","0.44%"
"03/19/2026","74,207.24","74,750.92","75,354.18","73,950.95","30.96M","-3.26%"
"03/18/2026","76,704.13","76,367.55","77,000.22","76,187.92","19.34M","0.83%"
"03/17/2026","76,070.84","75,826.68","76,304.26","75,324.73","35.17M","0.75%"
"03/16/2026","75,502.85","74,415.79","75,805.27","73,949.76","16.66M","1.26%"
"03/13/2026","74,563.92","75,444.22","75,576.20","74,454.60","18.55M","-1.93%"
"03/12/2026","76,034.42","76,369.65","76,681.71","75,871.18","22.66M","-1.08%"
"03/11/2026","76,863.71","78,238.91","78,324.37","76,759.26","16.37M","-1.72%"
"03/10/2026","78,205.98","78,375.73","78,526.25","77,745.47","22.02M","0.82%"
"03/09/2026","77,566.16","77,056.75","77,711.35","76,424.55","16.62M","-1.71%"
"03/06/2026","78,918.90","79,658.99","79,753.03","78,812.18","18.08M","-1.37%"
"03/05/2026","80,015.90","79,530.48","80,303.83","79,201.69","22.23M","1.14%"
"03/04/2026","79,116.19","78,528.82","79,527.41","78,443.20","21.79M","-1.40%"
"03/02/2026","80,238.85","78,543.73","80,632.55","78,543.73","30.63M","-1.29%"
"02/27/2026","81,287.19","82,220.48","82,246.17","81,159.15","15.80M","-1.17%"
"02/26/2026","82,248.61","82,418.78","82,579.16","81,970.47","122.46M","-0.03%"
"02/25/2026","82,276.07","82,530.12","82,957.91","82,132.63","19.21M","0.06%"
"02/24/2026","82,225.92","83,052.54","83,079.51","81,934.73","20.17M","-1.28%"
"02/23/2026","83,294.66","82,906.83","83,486.15","82,906.83","20.29M","0.58%"
"02/20/2026","82,814.71","82,272.49","83,132.08","82,206.21","19.55M","0.38%"
"02/19/2026","82,498.14","83,969.82","83,979.36","82,264.20","13.39M","-1.48%"
"02/18/2026","83,734.25","83,553.59","83,770.05","83,163.62","20.78M","0.34%"
"02/17/2026","83,450.96","83,197.67","83,598.00","82,987.43","13.40M","0.21%"
"02/16/2026","83,277.15","82,480.40","83,333.49","82,276.95","33.83M","0.79%"
"02/13/2026","82,626.76","82,902.73","83,079.70","82,534.55","30.24M","-1.25%"
"02/12/2026","83,674.92","83,968.43","84,061.62","83,516.67","36.82M","-0.66%"
"02/11/2026","84,233.64","84,339.15","84,487.34","84,081.25","23.88M","-0.05%"
"02/10/2026","84,273.92","84,210.00","84,482.95","84,063.47","45.48M","0.25%"
"02/09/2026","84,065.75","84,177.51","84,314.68","83,860.42","14.62M","0.58%"
"02/06/2026","83,580.40","83,249.32","83,612.12","82,925.35","16.06M","0.32%"
"02/05/2026","83,313.93","83,757.54","83,784.17","83,151.62","25.03M","-0.60%"
"02/04/2026","83,817.69","83,252.06","83,947.53","83,119.95","19.85M","0.09%"
"02/03/2026","83,739.13","85,323.20","85,871.73","83,501.22","19.82M","2.54%"
"02/02/2026","81,666.46","80,555.68","81,732.25","80,387.25","12.26M","1.17%"
"02/01/2026","80,722.94","82,388.97","82,726.65","79,899.42","20.51M","-1.88%"
"01/30/2026","82,269.78","81,947.31","82,430.82","81,941.03","13.94M","-0.36%"
"01/29/2026","82,566.37","82,368.96","82,689.96","81,707.94","23.52M","0.27%"
"01/28/2026","82,344.68","81,892.36","82,503.97","81,814.75","33.24M","0.60%"
"01/27/2026","81,857.48","81,436.79","82,084.92","81,088.59","26.95M","0.39%"
"01/23/2026","81,537.70","82,335.94","82,516.27","81,471.82","19.70M","-0.94%"
"01/22/2026","82,307.37","82,459.66","82,783.18","81,874.39","26.49M","0.49%"
"01/21/2026","81,909.63","81,794.65","82,407.05","81,124.45","13.19M","-0.33%"
"01/20/2026","82,180.47","83,207.38","83,254.28","82,010.58","13.00M","-1.28%"
"01/19/2026","83,246.18","83,494.49","83,539.93","82,898.31","14.22M","-0.39%"
"01/16/2026","83,570.35","83,670.79","84,134.97","83,456.50","22.80M","0.23%"
"01/14/2026","83,382.71","83,358.54","83,809.98","83,185.20","14.10M","-0.29%"
"01/13/2026","83,627.69","84,079.32","84,258.03","83,262.79","14.22M","-0.30%"
"01/12/2026","83,878.17","83,435.31","83,962.33","82,861.07","9.30M","0.36%"
"01/09/2026","83,576.24","84,022.09","84,406.22","83,402.28","12.49M","-0.72%"
"01/08/2026","84,180.96","84,778.02","84,965.27","84,110.10","26.32M","-0.92%"
"01/07/2026","84,961.14","84,620.40","85,075.99","84,617.49","19.23M","-0.12%"
"01/06/2026","85,063.34","85,331.14","85,397.78","84,900.10","23.25M","-0.44%"
"01/05/2026","85,439.62","85,640.05","85,883.50","85,315.33","12.59M","-0.38%"
"01/02/2026","85,762.01","85,259.36","85,812.27","85,068.88","17.86M","0.67%"
"01/01/2026","85,188.60","85,255.55","85,451.70","85,101.52","20.60M","-0.04%"
"12/31/2025","85,220.60","84,793.58","85,437.17","84,705.57","11.62M","0.64%"
"12/30/2025","84,675.08","84,600.99","84,806.99","84,470.94","6.95M","-0.02%"
"12/29/2025","84,695.54","85,004.75","85,250.00","84,637.86","53.31M","-0.41%"
"12/26/2025","85,041.45","85,225.28","85,378.51","84,937.82","4.83M","-0.43%"
"12/24/2025","85,408.70","85,533.11","85,738.18","85,342.19","8.43M","-0.14%"
"12/23/2025","85,524.84","85,690.10","85,704.93","85,342.99","6.10M","-0.05%"
"12/22/2025","85,567.48","85,145.90","85,601.33","85,145.86","6.12M","0.75%"
"12/19/2025","84,929.36","84,756.79","85,067.50","84,734.96","9.10M","0.53%"
"12/18/2025","84,481.81","84,518.33","84,780.19","84,238.43","14.96M","-0.09%"
"12/17/2025","84,559.65","84,856.26","84,889.45","84,415.98","11.24M","-0.14%"
"12/16/2025","84,679.86","85,025.61","85,059.96","84,620.61","9.58M","-0.63%"
"12/15/2025","85,213.36","84,891.75","85,278.63","84,840.32","10.63M","-0.06%"
"12/12/2025","85,267.66","85,051.03","85,320.82","84,956.74","8.18M","0.53%"
"12/11/2025","84,818.13","84,456.75","84,906.93","84,150.19","15.84M","0.51%"
"12/10/2025","84,391.27","84,607.49","85,020.34","84,313.62","8.77M","-0.32%"
"12/09/2025","84,666.28","84,742.87","84,947.89","84,382.96","8.50M","-0.51%"
"12/08/2025","85,102.69","85,624.84","85,722.97","84,875.59","10.65M","-0.71%"
"12/05/2025","85,712.37","85,125.48","85,796.72","85,078.12","7.92M","0.52%"
"12/04/2025","85,265.32","84,987.56","85,487.21","84,949.98","17.90M","0.19%"
"12/03/2025","85,106.81","85,150.64","85,269.68","84,763.64","17.38M","-0.04%"
"12/02/2025","85,138.27","85,325.51","85,553.51","85,053.00","5.84M","-0.59%"
"12/01/2025","85,641.90","86,065.92","86,159.02","85,489.65","8.45M","-0.08%"
"11/28/2025","85,706.67","85,791.55","85,969.89","85,577.82","6.39M","-0.02%"
"11/27/2025","85,720.38","85,745.05","86,055.86","85,473.85","15.81M","0.13%"
"11/26/2025","85,609.51","84,503.44","85,644.19","84,478.13","13.84M","1.21%"
"11/25/2025","84,587.01","85,008.93","85,110.24","84,536.73","6.17M","-0.37%"
"11/24/2025","84,900.71","85,320.04","85,473.47","84,710.11","9.64M","-0.39%"
"11/21/2025","85,231.92","85,347.40","85,609.40","85,187.84","14.17M","-0.47%"
"11/20/2025","85,632.68","85,470.92","85,801.70","85,201.22","24.29M","0.52%"
"11/19/2025","85,186.47","84,643.78","85,236.77","84,525.98","8.86M","0.61%"
"11/18/2025","84,673.02","85,042.37","85,042.41","84,558.36","10.66M","-0.33%"
"11/17/2025","84,950.95","84,700.50","84,988.09","84,581.08","10.48M","0.46%"
"11/14/2025","84,562.78","84,060.14","84,697.87","84,029.32","8.85M","0.10%"
"11/13/2025","84,478.67","84,525.89","84,919.43","84,253.05","25.58M","0.01%"
"11/12/2025","84,466.51","84,238.86","84,652.01","84,166.75","9.14M","0.71%"
"11/11/2025","83,871.32","83,671.52","83,936.47","83,124.03","16.47M","0.40%"
"11/10/2025","83,535.35","83,198.20","83,754.49","83,197.67","11.91M","0.38%"
"11/07/2025","83,216.28","83,150.15","83,390.11","82,670.95","15.94M","-0.11%"
"11/06/2025","83,311.01","83,516.69","83,846.35","83,237.65","17.92M","-0.18%"
"11/04/2025","83,459.15","84,000.64","84,068.01","83,412.77","9.51M","-0.62%"
"11/03/2025","83,978.49","83,835.10","84,127.00","83,609.54","1.35M","0.05%"
"10/31/2025","83,938.71","84,379.79","84,712.79","83,905.66","13.27M","-0.55%"
"10/30/2025","84,404.46","84,750.90","84,906.95","84,312.65","14.20M","-0.70%"
"10/29/2025","84,997.13","84,663.68","85,105.83","84,638.68","13.56M","0.44%"
"10/28/2025","84,628.16","84,625.71","84,986.94","84,219.39","12.94M","-0.18%"
"10/27/2025","84,778.84","84,297.39","84,932.08","84,294.20","11.96M","0.67%"
"10/24/2025","84,211.88","84,667.23","84,707.44","83,957.15","13.58M","-0.41%"
"10/23/2025","84,556.40","85,154.15","85,290.06","84,445.25","25.72M","0.15%"
"10/21/2025","84,426.34","84,484.67","84,665.44","84,286.40","3.39M","0.07%"
"10/20/2025","84,363.37","84,269.30","84,656.56","84,196.79","10.94M","0.49%"
"10/17/2025","83,952.19","83,331.78","84,172.24","83,206.08","14.33M","0.58%"
"10/16/2025","83,467.66","82,794.79","83,615.48","82,791.35","27.40M","1.04%"
"10/15/2025","82,605.43","82,197.25","82,727.02","82,084.37","10.64M","0.70%"
"10/14/2025","82,029.98","82,404.54","82,573.37","81,781.62","12.57M","-0.36%"
"10/13/2025","82,327.05","82,049.16","82,438.50","82,043.14","9.04M","-0.21%"
"10/10/2025","82,500.82","82,075.45","82,654.11","82,072.93","13.74M","0.40%"
"10/09/2025","82,172.10","81,900.00","82,247.73","81,667.68","23.15M","0.49%"
"10/08/2025","81,773.66","81,899.51","82,257.74","81,646.08","15.22M","-0.19%"
"10/07/2025","81,926.75","81,883.95","82,309.56","81,787.48","13.91M","0.17%"
"10/06/2025","81,790.12","81,274.79","81,846.42","81,155.88","8.77M","0.72%"
"10/03/2025","81,207.17","80,684.14","81,251.99","80,649.57","13.62M","0.28%"
"10/01/2025","80,983.31","80,173.24","81,068.43","80,159.90","22.27M","0.89%"
"09/30/2025","80,267.62","80,541.77","80,677.82","80,201.15","7.08M","-0.12%"
"09/29/2025","80,364.94","80,588.77","80,851.38","80,248.84","8.57M","-0.08%"
"09/26/2025","80,426.46","80,956.01","81,033.09","80,332.41","10.74M","-0.90%"
"09/25/2025","81,159.68","81,574.31","81,840.73","81,092.89","14.80M","-0.68%"
"09/24/2025","81,715.63","81,917.65","82,045.47","81,607.84","15.07M","-0.47%"
"09/23/2025","82,102.10","82,147.37","82,370.38","81,776.53","9.30M","-0.07%"
"09/22/2025","82,159.97","82,151.07","82,583.16","81,997.29","10.31M","-0.56%"
"09/19/2025","82,626.23","82,946.04","82,978.63","82,485.92","9.65M","-0.47%"
"09/18/2025","83,013.96","83,108.92","83,141.21","82,704.92","14.61M","0.39%"
"09/17/2025","82,693.71","82,506.40","82,741.95","82,490.47","14.65M","0.38%"
"09/16/2025","82,380.69","81,852.11","82,443.48","81,779.94","8.21M","0.73%"
"09/15/2025","81,785.74","81,925.51","81,998.51","81,744.70","10.53M","-0.15%"
"09/12/2025","81,904.70","81,758.95","81,992.85","81,641.38","11.06M","0.44%"
"09/11/2025","81,548.73","81,217.30","81,642.22","81,216.91","13.55M","0.15%"
"09/10/2025","81,425.15","81,504.36","81,643.88","81,235.42","11.83M","0.40%"
"09/09/2025","81,101.32","81,129.69","81,181.37","80,927.97","6.31M","0.39%"
"09/08/2025","80,787.30","80,904.40","81,171.38","80,733.07","8.74M","0.09%"
"09/05/2025","80,710.76","81,012.42","81,036.56","80,321.19","8.19M","-0.01%"
"09/04/2025","80,718.01","81,456.67","81,456.67","80,608.94","17.03M","0.19%"
"09/03/2025","80,567.71","80,295.99","80,671.28","80,004.60","17.06M","0.51%"
"09/02/2025","80,157.88","80,520.09","80,761.14","80,008.50","8.19M","-0.26%"
"09/01/2025","80,364.49","79,828.99","80,406.84","79,818.38","6.03M","0.70%"
"08/29/2025","79,809.65","80,010.83","80,310.74","79,741.76","12.45M","-0.34%"
"08/28/2025","80,080.57","80,754.66","80,775.71","80,013.02","7.85M","-0.87%"
"08/26/2025","80,786.54","81,377.39","81,450.28","80,685.98","20.48M","-1.04%"
"08/25/2025","81,635.91","81,501.06","81,799.06","81,364.86","9.71M","0.40%"
"08/22/2025","81,306.85","81,951.48","81,993.61","81,291.77","6.73M","-0.85%"
"08/21/2025","82,000.71","82,220.46","82,231.17","81,921.22","10.05M","0.17%"
"08/20/2025","81,857.84","81,671.47","81,985.62","81,494.50","9.37M","0.26%"
"08/19/2025","81,644.39","81,319.11","81,755.88","81,315.44","10.85M","0.46%"
"08/18/2025","81,273.75","81,315.79","81,765.77","81,202.42","19.28M","0.84%"
"08/14/2025","80,597.66","80,625.28","80,751.18","80,489.86","7.24M","0.07%"
"08/13/2025","80,539.91","80,492.17","80,683.74","80,319.00","12.31M","0.38%"
"08/12/2025","80,235.59","80,508.51","80,997.67","80,164.36","10.29M","-0.46%"
"08/11/2025","80,604.08","79,885.36","80,636.05","79,772.46","8.64M","0.93%"
"08/08/2025","79,857.79","80,478.01","80,550.40","79,775.84","23.21M","-0.95%"
"08/07/2025","80,623.26","80,262.98","80,737.55","79,811.29","37.53M","0.10%"
"08/06/2025","80,543.99","80,694.98","80,834.43","80,448.82","5.25M","-0.21%"
"08/05/2025","80,710.25","80,946.43","81,010.49","80,554.40","10.92M","-0.38%"
"08/04/2025","81,018.72","80,765.83","81,093.19","80,500.51","9.86M","0.52%"
"08/01/2025","80,599.91","81,074.41","81,317.51","80,495.57","14.68M","-0.72%"
"07/31/2025","81,185.58","80,695.50","81,803.27","80,695.15","9.71M","-0.36%"
"07/30/2025","81,481.86","81,594.52","81,618.96","81,187.06","7.21M","0.18%"
"07/29/2025","81,337.95","80,620.25","81,429.88","80,575.45","12.29M","0.55%"
"07/28/2025","80,891.02","81,299.97","81,557.41","80,776.44","5.14M","-0.70%"
"07/25/2025","81,463.09","82,065.76","82,069.51","81,397.69","9.96M","-0.88%"
"07/24/2025","82,184.17","82,779.95","82,784.24","82,047.22","14.01M","-0.66%"
"07/23/2025","82,726.64","82,451.87","82,786.43","82,279.73","10.09M","0.66%"
"07/22/2025","82,186.81","82,527.43","82,538.17","82,110.63","23.92M","-0.02%"
"07/21/2025","82,200.34","81,918.53","82,274.03","81,518.66","15.26M","0.54%"
"07/18/2025","81,757.73","82,193.62","82,334.75","81,608.13","8.31M","-0.61%"
"07/17/2025","82,259.24","82,753.53","82,757.09","82,219.27","8.76M","-0.45%"
"07/16/2025","82,634.48","82,534.66","82,784.75","82,342.94","7.62M","0.08%"
"07/15/2025","82,570.91","82,233.16","82,743.62","82,221.74","9.87M","0.39%"
"07/14/2025","82,253.46","82,537.87","82,537.87","82,010.38","18.11M","-0.30%"
"07/11/2025","82,500.47","82,820.76","83,040.74","82,442.25","10.72M","-0.83%"
"07/10/2025","83,190.28","83,658.20","83,742.28","83,134.97","7.55M","-0.41%"
"07/09/2025","83,536.08","83,625.89","83,781.36","83,382.28","7.83M","-0.21%"
"07/08/2025","83,712.51","83,387.03","83,812.31","83,320.95","15.31M","0.32%"
"07/07/2025","83,442.50","83,398.08","83,516.82","83,262.23","6.23M","0.01%"
"07/04/2025","83,432.89","83,306.81","83,477.86","83,015.83","8.77M","0.23%"
"07/03/2025","83,239.47","83,540.74","83,850.09","83,186.74","9.56M","-0.20%"
"07/02/2025","83,409.69","83,790.72","83,935.01","83,150.77","10.57M","-0.34%"
"07/01/2025","83,697.29","83,685.66","83,874.29","83,572.51","19.08M","0.11%"
"06/30/2025","83,606.46","84,027.33","84,099.53","83,482.13","6.25M","-0.54%"
"06/27/2025","84,058.90","83,774.45","84,089.35","83,645.41","8.61M","0.36%"
"06/26/2025","83,755.87","82,882.92","83,812.09","82,816.26","10.50M","1.21%"
"06/25/2025","82,755.51","82,448.80","82,815.91","82,339.57","7.52M","0.85%"
"06/24/2025","82,055.11","82,534.61","83,018.16","81,900.12","119.31M","0.19%"
"06/23/2025","81,896.79","81,704.07","82,169.67","81,476.76","7.98M","-0.62%"
"06/20/2025","82,408.17","81,354.85","82,494.49","81,323.20","6.67M","1.29%"
"06/19/2025","81,361.87","81,403.94","81,583.94","81,191.04","12.46M","-0.10%"
"06/18/2025","81,444.66","81,314.62","81,858.97","81,237.01","11.35M","-0.17%"
"06/17/2025","81,583.30","81,869.47","81,890.15","81,427.01","21.49M","-0.26%"
"06/16/2025","81,796.15","81,034.45","81,865.82","81,012.31","11.42M","0.84%"
"06/13/2025","81,118.60","80,427.81","81,238.68","80,354.59","6.64M","-0.70%"
"06/12/2025","81,691.98","82,571.67","82,661.04","81,523.16","5.95M","-1.00%"
"06/11/2025","82,515.14","82,473.02","82,783.51","82,308.91","11.30M","0.15%"
"06/10/2025","82,391.72","82,643.73","82,680.79","82,240.40","15.06M","-0.06%"
"06/09/2025","82,445.21","82,574.55","82,669.00","82,369.24","11.48M","0.31%"
"06/06/2025","82,188.99","81,434.24","82,299.89","81,140.11","12.37M","0.92%"
"06/05/2025","81,442.04","81,196.08","81,911.13","80,983.73","9.75M","0.55%"
"06/04/2025","80,998.25","80,777.65","81,087.29","80,705.18","7.48M","0.32%"
"06/03/2025","80,737.51","81,492.50","81,774.23","80,575.09","31.98M","-0.78%"
"06/02/2025","81,373.75","81,214.42","81,474.26","80,654.26","9.91M","-0.09%"
"05/30/2025","81,451.01","81,465.69","81,698.21","81,286.45","12.57M","-0.22%"
"05/29/2025","81,633.02","81,591.03","81,816.89","81,106.98","6.78M","0.39%"
"05/28/2025","81,312.32","81,457.61","81,613.36","81,244.02","24.10M","-0.29%"
"05/27/2025","81,551.63","82,038.20","82,410.52","81,121.70","20.69M","-0.76%"
"05/26/2025","82,176.45","81,928.95","82,492.24","81,867.23","10.19M","0.56%"
"05/23/2025","81,721.08","80,897.00","81,905.17","80,897.00","11.96M","0.95%"
"05/22/2025","80,951.99","81,323.05","81,323.24","80,489.92","10.69M","-0.79%"
"05/21/2025","81,596.63","81,327.61","82,021.64","81,237.06","5.75M","0.51%"
"05/20/2025","81,186.44","82,116.17","82,250.42","81,153.70","10.54M","-1.06%"
"05/19/2025","82,059.42","82,354.92","82,424.10","81,964.57","8.08M","-0.33%"
"05/16/2025","82,330.59","82,392.63","82,514.81","82,146.95","15.35M","-0.24%"
"05/15/2025","82,530.74","81,354.43","82,718.14","80,762.16","12.59M","1.48%"
"05/14/2025","81,330.56","81,278.49","81,691.87","80,910.03","15.24M","0.22%"
"05/13/2025","81,148.22","82,249.60","82,572.81","81,043.69","16.20M","-1.55%"
"05/12/2025","82,429.90","80,803.80","82,495.97","80,651.07","10.65M","3.74%"
"05/09/2025","79,454.47","78,968.34","80,032.93","78,968.34","8.75M","-1.10%"
"05/08/2025","80,334.81","80,912.34","80,927.99","79,987.61","10.57M","-0.51%"
"05/07/2025","80,746.78","79,948.80","80,844.63","79,937.48","8.75M","0.13%"
"05/06/2025","80,641.07","80,907.24","80,981.58","80,481.03","12.48M","-0.19%"
"05/05/2025","80,796.84","80,661.62","81,049.03","80,657.71","8.79M","0.37%"
"05/02/2025","80,501.99","80,300.19","81,177.93","80,168.59","12.66M","0.32%"
"04/30/2025","80,242.24","80,370.80","80,525.61","79,879.15","12.23M","-0.06%"
"04/29/2025","80,288.38","80,396.92","80,661.31","80,122.02","16.19M","0.09%"
"04/28/2025","80,218.37","79,343.63","80,321.88","79,341.35","8.49M","1.27%"
"04/25/2025","79,212.53","79,830.15","80,130.66","78,605.81","13.24M","-0.74%"
"04/24/2025","79,801.43","80,058.43","80,173.92","79,724.55","8.23M","-0.39%"
"04/23/2025","80,116.49","80,142.09","80,254.55","79,506.90","11.98M","0.65%"
"04/22/2025","79,595.59","79,728.39","79,824.30","79,253.44","14.81M","0.24%"
"04/21/2025","79,408.50","78,903.09","79,635.05","78,776.06","12.62M","1.09%"
"04/17/2025","78,553.20","76,968.02","78,616.77","76,665.77","11.11M","1.96%"
"04/16/2025","77,044.29","76,996.78","77,110.23","76,543.77","9.50M","0.40%"
"04/15/2025","76,734.89","76,852.06","76,907.63","76,435.07","12.93M","2.10%"
"04/11/2025","75,157.26","74,835.49","75,467.33","74,762.84","14.23M","1.77%"
"04/09/2025","73,847.15","74,103.83","74,103.83","73,673.06","9.15M","-0.51%"
"04/08/2025","74,227.08","74,013.73","74,859.39","73,424.92","17.06M","1.49%"
"04/07/2025","73,137.90","71,449.94","73,403.99","71,425.01","29.37M","-2.95%"
"04/04/2025","75,364.69","76,160.09","76,258.12","75,240.55","11.68M","-1.22%"
"04/03/2025","76,295.36","75,811.86","76,493.74","75,807.55","6.92M","-0.42%"
"04/02/2025","76,617.44","76,146.28","76,680.35","76,064.94","10.75M","0.78%"
"04/01/2025","76,024.51","76,882.58","77,487.05","75,912.18","10.59M","-1.80%"
"03/28/2025","77,414.92","77,690.69","77,766.70","77,185.62","16.70M","-0.25%"
"03/27/2025","77,606.43","77,087.39","77,747.46","77,082.51","12.67M","0.41%"
"03/26/2025","77,288.50","78,021.45","78,167.87","77,194.22","10.48M","-0.93%"
"03/25/2025","78,017.19","78,296.28","78,741.69","77,745.63","12.67M","0.04%"
"03/24/2025","77,984.38","77,456.27","78,107.23","77,179.35","10.10M","1.40%"
