"Date","Price","Open","High","Low","Vol.","Change %"
"06/09/2025","82,665.15","82,450.00","82,797.80","82,450.00","4.54K","0.30%"
"06/06/2025","82,419.00","81,750.00","82,554.85","81,431.00","12.82K","0.81%"
"06/05/2025","81,758.95","81,250.15","82,181.05","81,250.15","10.70K","0.53%"
"06/04/2025","81,324.75","81,182.00","81,400.00","81,038.65","4.26K","0.17%"
"06/03/2025","81,182.80","81,900.00","82,059.80","81,000.00","16.60K","-0.60%"
"06/02/2025","81,676.70","81,312.00","81,800.00","80,980.00","10.38K","-0.17%"
"05/30/2025","81,813.75","81,879.40","82,031.35","81,698.60","3.30K","-0.14%"
"05/29/2025","81,932.50","81,930.00","82,060.00","81,533.80","7.64K","0.31%"
"05/28/2025","81,681.15","81,937.90","82,011.00","81,620.00","5.32K","-0.31%"
"05/27/2025","81,937.90","82,344.30","82,643.25","81,620.00","11.30K","-0.38%"
"05/26/2025","82,250.10","81,801.00","82,607.10","81,801.00","31.94K","0.60%"
"05/23/2025","81,761.55","81,053.80","82,010.00","80,955.25","31.54K","0.88%"
"05/22/2025","81,050.45","81,600.95","81,600.95","80,580.00","36.14K","-0.71%"
"05/21/2025","81,631.15","81,550.00","82,244.30","81,271.10","31.40K","0.20%"
"05/20/2025","81,465.00","82,228.00","82,351.00","81,390.40","24.64K","-0.81%"
"05/19/2025","82,127.75","82,275.00","82,565.70","82,051.35","9.48K","-0.47%"
"05/16/2025","82,513.40","82,505.15","82,677.70","82,320.05","6.76K","0.01%"
"05/15/2025","82,505.15","81,394.20","82,718.85","81,000.00","12.76K","1.24%"
"05/14/2025","81,493.45","81,900.00","81,988.40","81,095.20","8.60K","0.21%"
"05/13/2025","81,320.20","82,757.90","82,757.90","81,200.00","17.56K","-1.64%"
"05/12/2025","82,675.20","80,500.00","82,765.00","80,500.00","10.40K","3.92%"
"05/09/2025","79,558.85","79,488.45","80,000.00","79,350.00","5.88K","-0.91%"
"05/08/2025","80,288.45","80,850.05","80,954.35","80,080.65","3.46K","-0.60%"
"05/07/2025","80,775.15","80,400.00","80,999.95","80,389.00","3.34K","0.09%"
"05/06/2025","80,700.55","81,059.60","81,059.60","80,630.25","3.44K","-0.44%"
"05/05/2025","81,059.60","80,755.65","81,240.00","80,755.65","2.72K","0.51%"
"05/02/2025","80,652.05","80,888.00","81,476.70","80,420.00","4.56K","0.29%"
"04/30/2025","80,419.75","80,250.00","80,598.65","80,231.65","1.48K","-0.07%"
"04/29/2025","80,474.00","81,200.00","81,200.00","80,440.00","2.96K","0.34%"
"04/28/2025","80,202.10","79,211.10","80,296.00","79,211.10","27.84K","1.37%"
"04/25/2025","79,116.10","79,899.90","80,128.50","78,594.80","36.72K","-0.89%"
"04/24/2025","79,829.25","80,026.25","80,268.30","79,772.90","9.52K","-0.39%"
"04/23/2025","80,139.70","80,050.00","80,310.00","79,553.95","17.84K","0.66%"
"04/22/2025","79,613.15","79,454.15","79,834.50","79,350.00","14.64K","0.19%"
"04/21/2025","79,460.85","79,004.65","79,692.45","78,839.05","10.18K","1.15%"
"04/17/2025","78,559.90","76,922.15","78,624.00","76,832.60","10.28K","1.95%"
"04/16/2025","77,059.20","76,687.05","77,151.30","76,650.00","4.18K","0.32%"
"04/15/2025","76,817.10","76,700.00","77,049.65","76,700.00","5.26K","1.78%"
"04/11/2025","75,473.20","75,105.00","75,706.20","75,105.00","4.72K","1.78%"
"04/09/2025","74,150.10","74,790.00","74,790.00","74,000.00","3.76K","-0.70%"
"04/08/2025","74,670.90","74,779.95","75,100.00","73,800.00","3.88K","1.60%"
"04/07/2025","73,492.30","73,800.00","73,899.90","72,300.00","4.30K","-2.88%"
"04/04/2025","75,673.40","76,340.00","76,357.10","75,579.65","3.08K","-1.22%"
"04/03/2025","76,604.70","76,679.95","76,840.00","76,400.00","1.04K","-0.48%"
"04/02/2025","76,971.40","76,762.35","77,050.00","76,650.00","2.14K","0.35%"
"04/01/2025","76,701.65","77,786.00","77,976.35","76,575.00","4.68K","-1.57%"
"03/28/2025","77,922.50","78,200.00","78,327.25","77,600.00","3.40K","-0.43%"
"03/27/2025","78,256.60","78,021.50","78,350.00","77,905.00","0.72K","0.30%"
"03/26/2025","78,021.50","78,601.00","78,849.00","77,959.95","4.98K","-0.91%"
